Id,Ano,Mes,Vendas,Publicidade
1,2018,Janeiro,4000,1
2,2018,Fevereiro,4200,0
3,2018,Março,0,1
4,2018,Abril,4500,1
5,2018,Maio,4700,1
6,2018,Junho,4900,0
7,2018,Julho,5100,1
8,2018,Agosto,5300,1
9,2018,Setembro,5500,0
10,2018,Outubro,5700,0
11,2018,Novembro,5900,1
12,2018,Dezembro,6100,0
13,2019,Janeiro,6300,1
14,2019,Fevereiro,6500,0
15,2019,Março,0,0
16,2019,Abril,6700,1
17,2019,Maio,6900,0
18,2019,Junho,7100,1
19,2019,Julho,7300,1
20,2019,Agosto,7500,0
21,2019,Setembro,7700,1
22,2019,Outubro,7900,0
23,2019,Novembro,8100,1
24,2019,Dezembro,8300,0
25,2020,Janeiro,8500,1
26,2020,Fevereiro,8700,0
27,2020,Março,8900,0
28,2020,Abril,0,1
29,2020,Maio,9100,1
30,2020,Junho,9300,0
31,2020,Julho,9500,1
32,2020,Agosto,9700,1
33,2020,Setembro,9900,0
34,2020,Outubro,10100,1
35,2020,Novembro,10300,0
36,2020,Dezembro,10500,1
37,2021,Janeiro,10700,0
38,2021,Fevereiro,10900,1
39,2021,Março,11100,1
40,2021,Abril,11300,0
41,2021,Maio,11500,1
42,2021,Junho,11700,1
43,2021,Julho,11900,0
44,2021,Agosto,12100,1
45,2021,Setembro,12300,0
46,2021,Outubro,12500,1
47,2021,Novembro,12700,0
48,2021,Dezembro,12900,1
49,2022,Janeiro,13100,0
50,2022,Feverero,13300,1
51,2022,Março,13500,0
52,2022,Abril,13700,1
53,2022,Maio,13900,0
54,2022,Junho,14100,1
55,2022,Julho,14300,0
56,2022,Agosto,14500,1
57,2022,Setembro,14700,0
58,2022,Outubro,14900,1
59,2022,Novembro,15100,0
60,2022,Dezembro,15300,1
61,2023,Janeiro,15500,0
62,2023,Fevereiro,15700,1
63,2023,Março,15900,0
64,2023,Abril,16100,1
65,2023,Maio,16300,0
66,2023,Junho,16500,1
67,2023,Julho,16700,0
68,2023,Agosto,16900,1
69,2023,Setembro,17100,0
70,2023,Outubro,17300,1
71,2023,Novembro,17500,0
72,2023,Dezembro,17700,1
73,2024,Janeiro,17900,0
74,2024,Fevereiro,18100,1
